Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.2,3.4,1.6,0.4,Iris-setosa
2,4.9,3.3,1.7,0.3,Iris-setosa
3,4.8,3.6,1.4,0.2,Iris-setosa
4,5.1,2.7,1.2,0.2,Iris-setosa
5,4.6,3.5,1.3,0.1,Iris-setosa
6,5.5,3.3,1.5,0.1,Iris-setosa
7,4.8,3.5,1.3,0.3,Iris-setosa
8,4.8,3.3,1.4,0.4,Iris-setosa
9,5.0,3.0,1.6,0.1,Iris-setosa
10,5.1,2.7,1.2,0.3,Iris-setosa
11,5.3,3.5,1.4,0.2,Iris-setosa
12,4.5,3.1,1.4,0.4,Iris-setosa
13,5.1,2.7,1.5,0.2,Iris-setosa
14,4.8,3.7,1.6,0.3,Iris-setosa
15,4.7,3.3,1.5,0.3,Iris-setosa
16,4.8,3.3,1.3,0.1,Iris-setosa
17,5.3,3.9,1.5,0.4,Iris-setosa
18,5.1,3.2,1.5,0.4,Iris-setosa
19,5.0,4.0,1.0,0.3,Iris-setosa
20,5.0,3.3,1.5,0.0,Iris-setosa
21,4.9,3.6,1.7,0.2,Iris-setosa
22,4.7,3.2,1.6,0.3,Iris-setosa
23,4.8,3.6,1.5,0.3,Iris-setosa
24,4.8,3.3,1.4,0.1,Iris-setosa
25,5.1,3.5,1.5,0.2,Iris-setosa
26,4.5,3.3,1.4,0.2,Iris-setosa
27,4.9,3.6,1.8,0.3,Iris-setosa
28,5.1,3.4,1.1,0.2,Iris-setosa
29,5.0,4.4,1.4,0.3,Iris-setosa
30,5.0,3.0,1.7,0.3,Iris-setosa
31,5.3,3.1,1.7,0.1,Iris-setosa
32,5.2,4.3,1.3,0.2,Iris-setosa
33,5.0,3.2,1.2,0.3,Iris-setosa
34,4.6,3.6,1.3,0.4,Iris-setosa
35,4.7,3.3,1.6,0.1,Iris-setosa
36,5.1,3.9,1.2,0.3,Iris-setosa
37,5.1,3.7,1.2,0.1,Iris-setosa
38,5.2,3.5,1.5,0.3,Iris-setosa
39,4.8,3.5,1.5,0.2,Iris-setosa
40,5.7,3.6,1.3,0.3,Iris-setosa
41,4.7,3.7,1.7,0.2,Iris-setosa
42,5.3,3.6,1.6,0.4,Iris-setosa
43,4.9,3.1,1.3,0.2,Iris-setosa
44,5.0,3.5,1.5,0.3,Iris-setosa
45,5.0,4.0,1.4,0.5,Iris-setosa
46,5.2,3.1,1.3,0.3,Iris-setosa
47,4.9,3.7,1.5,0.2,Iris-setosa
48,4.7,2.8,1.4,0.3,Iris-setosa
49,5.1,2.9,1.5,0.3,Iris-setosa
50,4.7,3.5,1.5,0.1,Iris-setosa
51,5.1,3.6,1.7,0.4,Iris-setosa
52,4.5,3.1,1.6,0.3,Iris-setosa
53,5.2,4.9,1.6,0.4,Iris-setosa
54,5.3,3.7,1.4,0.3,Iris-setosa
55,4.7,3.3,1.4,0.3,Iris-setosa
56,5.8,2.7,1.6,0.1,Iris-setosa
57,4.8,3.8,1.5,0.1,Iris-setosa
58,4.8,3.7,1.3,0.3,Iris-setosa
59,5.0,3.2,1.8,0.3,Iris-setosa
60,4.3,3.5,1.3,0.3,Iris-setosa
61,4.7,3.4,1.6,0.3,Iris-setosa
62,4.6,3.3,1.4,0.2,Iris-setosa
63,5.6,3.6,1.2,0.3,Iris-setosa
64,5.8,3.8,1.2,0.2,Iris-setosa
65,5.5,3.1,1.5,0.3,Iris-setosa
66,4.7,3.4,0.9,0.1,Iris-setosa
67,4.9,2.9,1.7,0.1,Iris-setosa
68,4.9,3.5,1.7,0.1,Iris-setosa
69,5.4,3.4,1.3,0.3,Iris-setosa
70,5.1,3.2,1.5,0.2,Iris-setosa
71,5.0,3.7,1.7,0.1,Iris-setosa
72,5.8,2.7,1.4,0.3,Iris-setosa
73,5.1,3.2,1.4,0.2,Iris-setosa
74,4.8,3.7,1.5,0.2,Iris-setosa
75,5.3,3.5,1.6,0.3,Iris-setosa
76,4.7,3.2,1.6,0.3,Iris-setosa
77,5.0,3.5,1.7,0.2,Iris-setosa
78,5.2,3.3,1.4,0.4,Iris-setosa
79,5.3,3.7,1.7,0.2,Iris-setosa
80,5.2,3.3,1.5,0.2,Iris-setosa
81,5.0,3.6,1.3,0.5,Iris-setosa
82,4.7,3.0,1.7,0.3,Iris-setosa
83,5.2,3.7,1.5,0.1,Iris-setosa
84,5.0,3.2,1.6,0.2,Iris-setosa
85,4.7,3.3,1.5,0.2,Iris-setosa
86,4.7,3.5,1.5,0.2,Iris-setosa
87,4.8,3.5,1.2,0.1,Iris-setosa
88,4.8,3.3,1.5,0.4,Iris-setosa
89,5.3,3.4,1.5,0.1,Iris-setosa
90,5.0,3.3,1.5,0.2,Iris-setosa
91,5.2,4.0,1.4,0.3,Iris-setosa
92,5.2,3.3,1.5,0.2,Iris-setosa
93,5.0,3.1,1.5,0.3,Iris-setosa
94,5.5,3.8,1.8,0.2,Iris-setosa
95,5.3,3.5,1.8,0.2,Iris-setosa
96,4.7,3.2,1.1,0.2,Iris-setosa
97,4.7,3.5,1.5,0.4,Iris-setosa
98,5.3,3.2,1.3,0.3,Iris-setosa
99,4.5,4.1,1.7,0.2,Iris-setosa
100,4.4,3.9,1.4,0.4,Iris-setosa
101,4.4,3.2,1.5,0.2,Iris-setosa
102,4.8,3.7,1.3,0.2,Iris-setosa
103,5.0,3.6,1.6,0.1,Iris-setosa
104,4.5,3.9,1.5,0.2,Iris-setosa
105,5.6,3.5,1.7,0.3,Iris-setosa
106,5.7,4.1,1.4,0.3,Iris-setosa
107,5.2,3.9,1.3,0.3,Iris-setosa
108,5.4,2.7,1.3,0.0,Iris-setosa
109,4.9,3.7,1.7,0.3,Iris-setosa
110,5.6,2.9,1.2,0.2,Iris-setosa
111,5.1,3.4,1.1,0.2,Iris-setosa
112,4.5,3.7,1.5,0.1,Iris-setosa
113,4.8,3.0,1.5,0.3,Iris-setosa
114,4.7,3.6,1.4,0.2,Iris-setosa
115,5.0,3.0,1.4,0.1,Iris-setosa
116,5.7,3.4,1.3,0.3,Iris-setosa
117,5.0,3.3,1.6,0.3,Iris-setosa
118,4.8,3.2,1.4,-0.0,Iris-setosa
119,4.5,3.9,1.7,0.2,Iris-setosa
120,5.2,3.5,2.0,0.4,Iris-setosa
121,5.0,3.1,1.2,0.3,Iris-setosa
122,4.7,2.9,1.4,0.1,Iris-setosa
123,5.6,3.8,1.5,0.4,Iris-setosa
124,5.0,3.1,1.7,0.3,Iris-setosa
125,4.6,3.3,1.3,0.1,Iris-setosa
126,5.3,4.1,1.2,0.3,Iris-setosa
127,4.8,3.2,1.4,0.2,Iris-setosa
128,5.0,3.1,1.5,0.2,Iris-setosa
129,4.9,3.1,1.4,0.3,Iris-setosa
130,5.2,3.0,1.5,0.3,Iris-setosa
131,4.4,3.6,1.3,0.3,Iris-setosa
132,4.7,2.7,1.2,0.2,Iris-setosa
133,5.1,3.1,1.6,0.1,Iris-setosa
134,5.0,3.0,1.4,0.2,Iris-setosa
135,4.7,3.3,1.6,0.2,Iris-setosa
136,5.3,3.0,1.6,0.4,Iris-setosa
137,4.1,3.1,1.6,0.2,Iris-setosa
138,5.1,3.2,1.5,0.2,Iris-setosa
139,5.4,3.5,1.5,0.2,Iris-setosa
140,4.8,3.3,1.5,0.2,Iris-setosa
141,5.1,4.2,1.6,0.2,Iris-setosa
142,5.4,3.3,1.1,0.1,Iris-setosa
143,4.3,3.3,1.5,0.4,Iris-setosa
144,5.1,3.3,1.6,0.0,Iris-setosa
145,5.1,3.7,1.2,0.4,Iris-setosa
146,5.1,3.3,1.6,0.5,Iris-setosa
147,5.1,3.5,1.4,0.2,Iris-setosa
148,5.3,3.1,1.5,0.2,Iris-setosa
149,5.2,3.5,1.6,0.2,Iris-setosa
150,4.9,3.0,1.4,0.3,Iris-setosa
151,5.3,3.1,1.6,0.4,Iris-setosa
152,5.2,4.1,1.3,0.1,Iris-setosa
153,4.4,4.0,1.6,0.2,Iris-setosa
154,5.1,3.0,1.9,0.3,Iris-setosa
155,5.0,3.7,1.5,0.3,Iris-setosa
156,4.7,3.6,1.8,0.4,Iris-setosa
157,5.6,3.2,1.3,0.2,Iris-setosa
158,5.0,3.8,1.2,0.4,Iris-setosa
159,5.0,3.3,1.3,0.1,Iris-setosa
160,5.3,3.4,1.2,0.1,Iris-setosa
161,4.9,4.1,1.4,0.1,Iris-setosa
162,4.9,3.3,1.0,0.2,Iris-setosa
163,4.9,3.7,1.8,0.4,Iris-setosa
164,4.9,3.0,1.9,0.3,Iris-setosa
165,5.0,3.4,1.5,0.2,Iris-setosa
166,4.8,3.2,1.5,0.2,Iris-setosa
167,4.8,3.5,1.4,0.4,Iris-setosa
168,4.1,3.8,1.7,0.0,Iris-setosa
169,4.9,3.3,1.2,0.2,Iris-setosa
170,4.6,4.1,1.6,0.4,Iris-setosa
171,5.3,3.0,1.4,0.3,Iris-setosa
172,4.6,3.7,1.4,0.2,Iris-setosa
173,5.3,3.6,1.4,0.4,Iris-setosa
174,4.6,3.7,1.6,0.2,Iris-setosa
175,5.1,2.9,1.6,0.2,Iris-setosa
176,4.8,3.8,1.3,0.1,Iris-setosa
177,4.5,3.6,1.2,0.4,Iris-setosa
178,4.3,4.1,1.5,0.2,Iris-setosa
179,4.8,3.6,1.5,0.4,Iris-setosa
180,5.0,3.5,1.4,0.2,Iris-setosa
181,5.1,2.8,1.2,0.3,Iris-setosa
182,5.1,3.3,1.5,0.3,Iris-setosa
183,4.8,3.1,1.5,0.1,Iris-setosa
184,5.1,2.8,1.6,0.3,Iris-setosa
185,5.1,3.8,1.8,0.4,Iris-setosa
186,4.4,2.9,1.4,0.2,Iris-setosa
187,5.2,3.1,1.5,0.2,Iris-setosa
188,4.8,2.9,1.3,0.1,Iris-setosa
189,4.7,3.8,1.3,0.5,Iris-setosa
190,5.2,3.5,1.3,0.3,Iris-setosa
191,4.8,3.5,1.9,0.2,Iris-setosa
192,5.4,3.2,1.5,0.4,Iris-setosa
193,4.8,4.1,1.6,0.2,Iris-setosa
194,5.2,3.8,1.6,0.1,Iris-setosa
195,4.7,3.3,1.5,0.3,Iris-setosa
196,5.1,2.9,1.5,0.3,Iris-setosa
197,5.2,3.8,1.6,0.3,Iris-setosa
198,5.0,2.8,1.5,0.3,Iris-setosa
199,5.1,2.9,1.3,0.4,Iris-setosa
200,5.0,3.7,1.5,0.2,Iris-setosa
201,5.3,3.2,1.5,0.2,Iris-setosa
202,4.9,3.3,1.5,0.2,Iris-setosa
203,5.4,3.1,1.4,0.2,Iris-setosa
204,5.5,3.5,1.6,0.1,Iris-setosa
205,5.1,3.8,1.5,0.4,Iris-setosa
206,4.8,4.0,1.9,0.2,Iris-setosa
207,4.8,4.0,1.7,0.2,Iris-setosa
208,4.9,3.3,1.2,0.1,Iris-setosa
209,4.7,3.1,1.5,0.3,Iris-setosa
210,5.6,3.0,1.6,0.2,Iris-setosa
211,5.0,3.7,1.3,0.3,Iris-setosa
212,5.1,3.6,1.5,0.5,Iris-setosa
213,4.8,3.2,1.4,0.2,Iris-setosa
214,4.8,3.9,1.7,0.2,Iris-setosa
215,4.7,3.6,1.4,0.3,Iris-setosa
216,5.1,2.8,1.7,0.4,Iris-setosa
217,4.8,3.3,1.5,0.3,Iris-setosa
218,5.2,4.2,1.4,0.2,Iris-setosa
219,4.5,3.1,1.5,0.4,Iris-setosa
220,4.8,3.5,1.5,0.4,Iris-setosa
221,5.9,3.2,1.4,0.4,Iris-setosa
222,5.2,4.1,1.6,0.2,Iris-setosa
223,5.2,3.8,1.6,0.3,Iris-setosa
224,5.4,3.9,1.7,0.3,Iris-setosa
225,4.9,3.5,1.7,0.2,Iris-setosa
226,5.1,3.3,1.5,0.4,Iris-setosa
227,5.1,3.4,1.2,0.3,Iris-setosa
228,5.2,4.2,1.4,0.3,Iris-setosa
229,5.1,4.0,1.4,0.3,Iris-setosa
230,5.2,3.5,1.4,0.3,Iris-setosa
231,5.4,3.0,1.5,0.2,Iris-setosa
232,5.4,2.8,1.4,0.3,Iris-setosa
233,5.6,3.4,1.4,0.4,Iris-setosa
234,4.5,2.6,1.5,0.2,Iris-setosa
235,4.6,3.7,1.5,0.2,Iris-setosa
